city_ascii,lat,lng,country,iso2,iso3,population
Penola,-37.3786,140.8362,Australia,AU,AUS,1312
"Streaky Bay",-32.8,134.2167,Australia,AU,AUS,1378
"Halls Creek",-18.23,127.67,Australia,AU,AUS,1546
Peterborough,-32.9667,138.8333,Australia,AU,AUS,1416
Ouyen,-35.0667,142.317,Australia,AU,AUS,1191
Katherine,-14.4667,132.2667,Australia,AU,AUS,1488
Barcaldine,-23.5555,145.2888,Australia,AU,AUS,1422
Cowell,-33.6833,136.9167,Australia,AU,AUS,1109
Meningie,-35.6883,139.338,Australia,AU,AUS,1118
Hughenden,-20.8438,144.1986,Australia,AU,AUS,1136
Meekatharra,-26.5931,118.4911,Australia,AU,AUS,708
Yulara,-25.2406,130.9889,Australia,AU,AUS,1099
Wyndham,-15.4825,128.123,Australia,AU,AUS,780
Roebourne,-20.7667,117.15,Australia,AU,AUS,981
Winton,-22.3913,143.0381,Australia,AU,AUS,875
Leonora,-28.88,121.33,Australia,AU,AUS,781
Gingin,-31.34,115.91,Australia,AU,AUS,852
Wilcannia,-31.565,143.3678,Australia,AU,AUS,745
Onslow,-21.6333,115.1167,Australia,AU,AUS,857
Laverton,-28.628,122.403,Australia,AU,AUS,871
Morawa,-29.2111,116.009,Australia,AU,AUS,532
"Southern Cross",-31.25,119.35,Australia,AU,AUS,680
Norseman,-32.1961,121.778,Australia,AU,AUS,581
Ravensthorpe,-33.5831,120.049,Australia,AU,AUS,498
Eidsvold,-25.3667,151.1333,Australia,AU,AUS,574
Pannawonica,-21.6333,116.333,Australia,AU,AUS,695
Kimba,-33.1333,136.417,Australia,AU,AUS,629
"Mount Magnet",-28.06,117.846,Australia,AU,AUS,470
"Three Springs",-29.5333,115.717,Australia,AU,AUS,381
Theodore,-24.95,150.0833,Australia,AU,AUS,438
Karumba,-17.4838,140.8397,Australia,AU,AUS,531
Richmond,-20.7306,143.1422,Australia,AU,AUS,522
Andamooka,-30.447,137.166,Australia,AU,AUS,316
Georgetown,-18.3,143.55,Australia,AU,AUS,348
Boulia,-22.9,139.9,Australia,AU,AUS,301
"Adelaide River",-13.2381,131.1061,Australia,AU,AUS,353
Burketown,-17.7167,139.5667,Australia,AU,AUS,238
Ivanhoe,-32.8983,144.3,Australia,AU,AUS,327
Thargomindah,-28,143.8167,Australia,AU,AUS,270
"Pine Creek",-13.8231,131.833,Australia,AU,AUS,328
Camooweal,-19.9167,138.117,Australia,AU,AUS,208
Birdsville,-25.8989,139.352,Australia,AU,AUS,140
Bedourie,-24.35,139.4667,Australia,AU,AUS,122
Windorah,-25.4206,142.6547,Australia,AU,AUS,115
Kingoonya,-30.9,135.3,Australia,AU,AUS,13
Yanchep,-31.55,115.634,Australia,AU,AUS,8868
Gordonvale,-17.0936,145.7866,Australia,AU,AUS,6671
Stanthorpe,-28.6547,151.935,Australia,AU,AUS,5406
Bullsbrook,-31.663,116.03,Australia,AU,AUS,5448
"McMinns Lagoon",-12.5329,131.05,Australia,AU,AUS,5025
Ceduna,-32.1167,133.6667,Australia,AU,AUS,2157
Quilpie,-26.6161,144.2675,Australia,AU,AUS,595
Woomera,-31.1496,136.8,Australia,AU,AUS,450
